거래_유형	주요_카테고리	세부_카테고리	건수	순번
입금	환급	캐시백	364	1
출금	식비	카페/디저트	333	2
출금	식비	외식	303	3
입금	이체	헌준 간 이체	300	4
출금	이체	헌준 간 이체	251	5
출금	소비	장보기	169	6
출금	소비	카카오페이	155	7
입금	이체	혜진 간 이체	122	8
입금	환급	이벤트	114	9
입금	금융	이자	106	10
출금	소비	편의점	94	11
출금	식비	구내식당	83	12
입금	이체	우리 간 이체	78	13
출금	금융	카드대금	77	14
출금	소비	네이버페이	76	15
출금	기타	기타	74	16
출금	이체	우리 간 이체	66	17
출금	교통	통행료	59	18
입금	이체	개인 간 이체	53	19
출금	이체	개인 간 이체	50	20
출금	쇼핑	백화점	48	21
출금	교통	주차장	39	22
출금	식비	배민	38	23
출금	교통	주유비	35	24
출금	소비	피부	31	25
출금	소비	토스페이	30	26
출금	교통	대중교통	29	27
출금	이체	혜진 간 이체	29	28
출금	소비	다이소	25	29
입금	금융	기타 인증	24	30
출금	소비	묭실	23	31
출금	금융	자동차대금	21	32
출금	여행	금산	20	33
입금	소득	기타 소득	19	34
출금	여행	태안	17	35
입금	환급	환불	17	36
출금	금융	대출이자	15	37
출금	공과금	통신비	14	38
출금	건강/의료	약국	13	39
출금	쇼핑	기타 쇼핑	13	40
출금	교통	기타 교통	12	41
입금	소득	급여	12	42
입금	환급	K-패스	12	43
출금	공과금	이사정산	12	44
출금	저축	청년적금	12	45
출금	쇼핑	온라인 쇼핑	12	46
출금	여행	원주	12	47
출금	여가	기타	12	48
출금	구독	쿠팡	12	49
출금	금융	보험료	11	50
출금	저축	청약	11	51
출금	여행	오키나와	11	52
출금	공과금	관리비	11	53
출금	건강/의료	안경/렌즈	10	54
출금	여가	사진	9	55
출금	소비	선물	9	56
출금	금융	대출이자(전세)	9	57
출금	여행	속초	8	58
출금	공과금	도시가스	8	59
출금	구독	시큐리티	8	60
출금	소비	주거	8	61
출금	여행	양양	8	62
출금	구독	배민	7	63
출금	여가	영화	7	64
출금	소비	기타 소비	7	65
출금	교통	세차비	7	66
출금	소비	서점	6	67
출금	건강/의료	병원	6	68
출금	공과금	기타	5	69
출금	금융	대출금 상환	4	70
출금	여가	입장료	4	71
출금	금융	기타 투자	4	72
입금	금융	대출금 입금	4	73
입금	환급	운동비	4	74
출금	공과금	공인노무사회	4	75
출금	여가	서점	3	76
입금	환급	공과금/세금	3	77
출금	환급	캐시백	3	78
입금	환급	보험금	3	79
출금	건강/의료	운동	3	80
출금	금융	부동산 이사정산	3	81
출금	여가	코노	3	82
입금	이체	기타 입금	2	83
출금	경조비	축의금(전달)	2	84
출금	금융	부동산 보증금	2	85
출금	금융	부동산 보증료	2	86
취소	식비	외식	2	87
출금	식비	저녁	2	88
출금	공과금	세금	2	89
출금	공과금	인터넷	2	90
출금	공과금	월세	2	91
입금	금융	부동산 보증금	1	92
출금	경조비	축의금(광식,윤하)	1	93
출금	경조비	조의금(덕영)	1	94
출금	경조비	축의금(은별)	1	95
출금	경조비	축의금(지혜)	1	96
출금	여행	글램핑	1	97
출금	이체	기타 출금	1	98
취소	교통	기타 교통	1	99
취소	식비	카페/디저트	1	100
